"ID_TEMPO","NU_ANO","NU_MES","NU_ANOMES","SG_MES","NM_MESANO","NM_MES","NU_DIA","DT_TEMPO","NU_HORA"
22,2007,1,200701,Jan,Jan/2007,Janeiro  ,2,2007-01-02 00:00:00,18
23,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,8
24,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,9
25,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,10
26,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,11
27,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,12
28,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,13
29,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,14
30,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,15
31,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,16
32,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,17
33,2007,1,200701,Jan,Jan/2007,Janeiro  ,3,2007-01-03 00:00:00,18
34,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,8
35,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,9
36,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,10
37,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,11
38,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,12
39,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,13
40,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,14
41,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,15
42,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,16
43,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,17
44,2007,1,200701,Jan,Jan/2007,Janeiro  ,4,2007-01-04 00:00:00,18
45,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,8
46,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,9
47,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,10
48,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,11
49,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,12
50,2007,1,200701,Jan,Jan/2007,Janeiro  ,5,2007-01-05 00:00:00,13
